player_id,player_slug,first_name,last_name,player_url,flag_code,residence,birthplace,birthdate,birth_year,birth_month,birth_day,turned_pro,weight_lbs,weight_kg,height_ft,height_inches,height_cm,handedness,backhand
a061,jorge-andrew,Jorge,Andrew,http://www.atpworldtour.com/en/players/jorge-andrew/a061/overview,VEN,"Lexington, SC, U.S.A.","Caracas, Venezuela",1951.11.02,1951,11,2,NA,195,88,"5'11""",71,180,Right-Handed,One-Handed Backhand
a063,arthur-ashe,Arthur,Ashe,http://www.atpworldtour.com/en/players/arthur-ashe/a063/overview,USA,NA,"Richmond, VA",1943.07.10,1943,7,10,1969,160,73,"6'1""",73,185,Right-Handed,One-Handed Backhand
a092,andre-agassi,Andre,Agassi,http://www.atpworldtour.com/en/players/andre-agassi/a092/overview,USA,"Las Vegas, Nevada, USA","Las Vegas, Nevada, USA",1970.04.29,1970,4,29,1986,177,80,"5'11""",71,180,Right-Handed,Two-Handed Backhand
a276,jan-frode-andersen,Jan Frode,Andersen,http://www.atpworldtour.com/en/players/jan-frode-andersen/a276/overview,NOR,"Oslo, Norway","Asker, Norway",1972.08.29,1972,8,29,1997,187,85,"6'3""",75,191,Left-Handed,Two-Handed Backhand
a311,hugo-armando,Hugo,Armando,http://www.atpworldtour.com/en/players/hugo-armando/a311/overview,USA,"Bradenton, Florida, USA","Miami, Florida, USA",1978.05.27,1978,5,27,1997,180,82,"6'0""",72,183,Right-Handed,One-Handed Backhand
a356,thierry-ascione,Thierry,Ascione,http://www.atpworldtour.com/en/players/thierry-ascione/a356/overview,FRA,rueil malmaison,"Villeurbanne, France",1981.01.17,1981,1,17,2000,196,89,"6'2""",74,188,Right-Handed,One-Handed Backhand
a385,mario-ancic,Mario,Ancic,http://www.atpworldtour.com/en/players/mario-ancic/a385/overview,CRO,"Monte Carlo, Monaco","Split, Croatia",1984.03.30,1984,3,30,2001,180,82,"6'5""",77,196,Right-Handed,Two-Handed Backhand
a389,jose-acasuso,Jose,Acasuso,http://www.atpworldtour.com/en/players/jose-acasuso/a389/overview,ARG,"Buenos Aires, Argentina","Posadas-Misiones, Argentina",1982.10.20,1982,10,20,1999,190,86,"6'3""",75,191,Right-Handed,One-Handed Backhand
a410,thiago-alves,Thiago,Alves,http://www.atpworldtour.com/en/players/thiago-alves/a410/overview,BRA,"Sao Jose do Rio Preto, Brazil","Sao Jose do Rio Preto, Brazil",1982.05.22,1982,5,22,2000,165,75,"5'10""",70,178,Right-Handed,Two-Handed Backhand
a457,jorge-aguilar,Jorge,Aguilar,http://www.atpworldtour.com/en/players/jorge-aguilar/a457/overview,CHI,"Santiago, Chile","Santiago, Chile",1985.01.08,1985,1,8,NA,150,68,"5'10""",70,178,Right-Handed,Two-Handed Backhand
a479,nicolas-almagro,Nicolas,Almagro,http://www.atpworldtour.com/en/players/nicolas-almagro/a479/overview,ESP,"Murcia, Spain","Murcia, Spain",1985.08.21,1985,8,21,2003,190,86,"6'0""",72,183,Right-Handed,One-Handed Backhand
