player_id,first_name,last_name,hand,birth_date,country_code,country
100001,Gardnar,Mulloy,R,1913-11-22T00:00:00Z,USA,United States
100002,Pancho,Segura,R,1921-06-20T00:00:00Z,ECU,Ecuador
100003,Frank,Sedgman,R,1927-10-02T00:00:00Z,AUS,Australia
100004,Giuseppe,Merlo,R,1927-10-11T00:00:00Z,ITA,Italy
100005,Richard Pancho,Gonzales,R,1928-05-09T00:00:00Z,USA,United States
100006,Grant,Golden,R,1929-08-21T00:00:00Z,USA,United States
100009,Istvan,Gulyas,R,1931-10-14T00:00:00Z,HUN,Hungary
100012,Nicola,Pietrangeli,R,1933-09-11T00:00:00Z,ITA,Italy
100013,Neale,Fraser,L,1933-10-03T00:00:00Z,AUS,Australia
100015,Sammy,Giammalva,R,1934-08-01T00:00:00Z,USA,United States
100016,Ken,Rosewall,R,1934-11-02T00:00:00Z,AUS,Australia
100017,Mal,Anderson,R,1935-03-03T00:00:00Z,AUS,Australia
100018,Barry,Mackay,R,1935-08-31T00:00:00Z,USA,United States
100019,Wieslaw,Gasiorek,R,1936-01-13T00:00:00Z,POL,Poland
100020,Alejandro,Olmedo,R,1936-03-24T00:00:00Z,PER,Peru
100021,Ashley,Cooper,R,1936-09-15T00:00:00Z,AUS,Australia
100022,Roy,Emerson,R,1936-11-03T00:00:00Z,AUS,Australia
100023,Ramanathan,Krishnan,R,1937-04-11T00:00:00Z,IND,India
100024,Jan Eric,Lundquist,R,1937-04-14T00:00:00Z,SWE,Sweden
100025,Barry,Phillips Moore,R,1937-07-09T00:00:00Z,AUS,Australia
100026,Andres,Gimeno,R,1937-08-03T00:00:00Z,ESP,Spain
100027,Gene,Scott,R,1937-12-28T00:00:00Z,USA,United States
100028,Manuel,Santana,R,1938-05-10T00:00:00Z,ESP,Spain
100029,Rod,Laver,L,1938-08-09T00:00:00Z,AUS,Australia
100030,Fred,Stolle,R,1938-10-08T00:00:00Z,AUS,Australia
100035,Ion,Tiriac,R,1939-05-09T00:00:00Z,ROU,Romania
100036,Rudy,Hernando,R,1939-06-10T00:00:00Z,USA,United States
100041,Ned,Neely,R,1940-01-14T00:00:00Z,USA,United States
100042,Ryoichi,Mori,R,1940-01-14T00:00:00Z,JPN,Japan
100043,Zdenek,Slizek,R,1940-02-19T00:00:00Z,CZE,Czechia
100044,Sergei,Likhachev,R,1940-03-20T00:00:00Z,RUS,Russia
100045,John,Paish,L,1940-03-23T00:00:00Z,GBR,United Kingdom
100046,Larry,Nagler,R,1940-07-01T00:00:00Z,USA,United States
100047,Bob,Carmichael,R,1940-07-04T00:00:00Z,AUS,Australia
100048,Earl Butch,Buchholz,R,1940-09-16T00:00:00Z,USA,United States
100049,Jim,Mcmanus,L,1940-09-16T00:00:00Z,USA,United States
100050,Martin,Mulligan,R,1940-10-18T00:00:00Z,AUS,Australia
100051,Premjit,Lall,R,1940-10-20T00:00:00Z,IND,India
100052,Keishiro,Yanagi,R,1941-02-24T00:00:00Z,JPN,Japan
100053,Colin,Stubs,R,1941-02-27T00:00:00Z,AUS,Australia
100054,Jose,Mandarino,R,1941-03-26T00:00:00Z,BRA,Brazil
100057,Pierre,Barthes,R,1941-09-13T00:00:00Z,FRA,France
100058,Roger,Taylor,L,1941-10-14T00:00:00Z,GBR,United Kingdom
100059,Isao,Watanabe,R,1941-11-23T00:00:00Z,JPN,Japan
100060,Marty,Riessen,R,1941-12-04T00:00:00Z,USA,United States
100061,Tom,Edlefsen,R,1941-12-12T00:00:00Z,USA,United States
100062,Francois,Jauffret,R,1942-02-09T00:00:00Z,FRA,France
100063,William,Higgins,R,1942-04-02T00:00:00Z,USA,United States
100064,Juan,Gisbert,R,1942-04-05T00:00:00Z,ESP,Spain
100066,Frank,Froehling,R,1942-05-19T00:00:00Z,USA,United States
100068,Herb,Fitzgibbon,R,1942-07-14T00:00:00Z,USA,United States
100069,Dennis,Ralston,R,1942-07-27T00:00:00Z,USA,United States
100070,Jan,Kukal,R,1942-09-13T00:00:00Z,CZE,Czechia
100071,Jean Claude,Barclay,R,1942-12-30T00:00:00Z,FRA,France
100072,Bailey,Brown,R,1943-06-15T00:00:00Z,USA,United States
100073,Mark,Cox,L,1943-07-05T00:00:00Z,GBR,United Kingdom
100074,Arthur,Ashe,R,1943-07-10T00:00:00Z,USA,United States
100075,Owen,Davidson,L,1943-10-04T00:00:00Z,AUS,Australia
100076,Milan,Holecek,R,1943-10-23T00:00:00Z,CZE,Czechia
100077,Daniel,Contet,R,1943-11-03T00:00:00Z,FRA,France
100078,Clark,Graebner,R,1943-11-04T00:00:00Z,USA,United States
100079,Bill,Bowrey,R,1943-12-25T00:00:00Z,AUS,Australia
100080,Szabolcz,Baranyi,R,1944-01-31T00:00:00Z,HUN,Hungary
100081,Charlie,Pasarell,R,1944-02-12T00:00:00Z,USA,United States
100083,Nicola,Spear,R,1944-02-22T00:00:00Z,SRB,Serbia
100086,Frantisek,Pala,L,1944-03-28T00:00:00Z,CZE,Czechia
100087,John,Newcombe,R,1944-05-23T00:00:00Z,AUS,Australia
100089,Patrice,Beust,R,1944-09-03T00:00:00Z,FRA,France
100090,Dick,Crealy,R,1944-09-18T00:00:00Z,AUS,Australia
100091,Colin,Dibley,R,1944-09-19T00:00:00Z,AUS,Australia
100092,Alex,Metreveli,R,1944-11-02T00:00:00Z,RUS,Russia
100093,William,Brown,R,1945-01-14T00:00:00Z,USA,United States
100094,Jim,Osborne,R,1945-02-01T00:00:00Z,USA,United States
100095,Tony,Bardsley,R,1945-02-09T00:00:00Z,CAN,Canada
100096,Peter,Burwash,R,1945-02-10T00:00:00Z,CAN,Canada
100098,Ove Nils,Bengtson,R,1945-04-05T00:00:00Z,SWE,Sweden
100099,Thomaz,Koch,L,1945-05-11T00:00:00Z,BRA,Brazil
100100,Tony,Roche,L,1945-05-17T00:00:00Z,AUS,Australia
100101,Mike,Belkin,R,1945-06-29T00:00:00Z,CAN,Canada
100102,Joaquin Loyo,Mayo,R,1945-08-16T00:00:00Z,MEX,Mexico
100103,Peter,Curtis,R,1945-08-29T00:00:00Z,GBR,United Kingdom
100104,D Richard,Russell,R,1945-09-08T00:00:00Z,JAM,Jamaica
100105,Allan,Stone,R,1945-10-14T00:00:00Z,AUS,Australia
100106,Graham,Stilwell,R,1945-11-15T00:00:00Z,GBR,United Kingdom
100107,Robert,Rheinberger,R,1945-11-18T00:00:00Z,AUS,Australia
100108,Chris,Bovett,R,1945-12-25T00:00:00Z,GBR,United Kingdom
100109,Jun,Kuki,R,1945-12-28T00:00:00Z,JPN,Japan
100110,Terry,Addison,R,1946-01-11T00:00:00Z,AUS,Australia
100111,Ray,Keldie,R,1946-01-17T00:00:00Z,AUS,Australia
100112,John,Clifton,R,1946-02-19T00:00:00Z,GBR,United Kingdom
100113,Jan,Kodes,R,1946-03-01T00:00:00Z,CZE,Czechia
100114,Ray,Ruffels,R,1946-03-23T00:00:00Z,AUS,Australia
100116,Sherwood,Stewart,R,1946-06-06T00:00:00Z,USA,United States
100117,Butch,Seewagen,R,1946-06-13T00:00:00Z,USA,United States
100118,Ivan,Molina,L,1946-06-16T00:00:00Z,COL,Colombia
100119,Ilie,Nastase,R,1946-07-19T00:00:00Z,ROU,Romania
100122,Julian,Ganzabal,R,1946-08-25T00:00:00Z,ARG,Argentina
100123,Patrick,Hombergen,R,1946-09-08T00:00:00Z,BEL,Belgium
100124,Steve,Turner,R,1946-10-17T00:00:00Z,USA,United States
100125,John,Cooper,R,1946-11-04T00:00:00Z,AUS,Australia
100126,Stan,Smith,R,1946-12-14T00:00:00Z,USA,United States
100127,Tom,Gorman,R,1946-12-19T00:00:00Z,USA,United States
100128,Cliff,Richey,R,1946-12-31T00:00:00Z,USA,United States
100129,Jean Baptiste,Chanfreau,R,1947-01-17T00:00:00Z,FRA,France
100130,Vladimir,Zednik,R,1947-02-01T00:00:00Z,CZE,Czechia
100131,Guillermo,Oropez,R,1947-02-07T00:00:00Z,USA,United States
